SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-S24868/2024,GISAID; GenBank,EPI_ISL_18982081,PP485134.1,2024-01-25,King County
USA/WA-CDC-UW23032235179/2023,GISAID; GenBank,EPI_ISL_17395795,OQ833302.1,2023-03-22,King County
USA/WA-CDC-UW23032252817/2023,GISAID; GenBank,EPI_ISL_17395788,OQ833324.1,2023-03-22,King County
USA/WA-CDC-UW23032261399/2023,GISAID; GenBank,EPI_ISL_17395792,OQ833299.1,2023-03-22,King County
USA/WA-CDC-LC1024850/2023,GISAID; GenBank,EPI_ISL_17236963,OQ642615.1,2023-02-28,King County
USA/WA-CDC-LC1024816/2023,GISAID; GenBank,EPI_ISL_17236965,OQ642617.1,2023-02-28,King County
USA/WA-CDC-LC1024822/2023,GISAID; GenBank,EPI_ISL_17236983,OQ642635.1,2023-02-28,King County
USA/WA-CDC-QDX47418434/2023,GISAID; GenBank,EPI_ISL_17238686,OQ644226.1,2023-03-01,King County
USA/WA-CDC-UW23021288739/2023,GISAID,EPI_ISL_16999626,,2023-02-12,King County
USA/WA-CDC-UW23030148881/2023,GISAID; GenBank,EPI_ISL_17205172,OQ625974.1,2023-03-01,King County
USA/WA-CDC-UW23030157275/2023,GISAID; GenBank,EPI_ISL_17205177,OQ625968.1,2023-03-01,King County
USA/WA-CDC-UW23033043366/2023,GISAID; GenBank,EPI_ISL_17431127,OQ799180.1,2023-03-30,King County
USA/WA-CDC-UW23051933368/2023,GISAID; GenBank,EPI_ISL_17768864,OR098933.1,2023-05-19,King County
USA/WA-CDC-UW23032243381/2023,GISAID; GenBank,EPI_ISL_17394912,OQ833331.1,2023-03-22,King County
USA/WA-UW-23021229175/2023,GISAID; GenBank,EPI_ISL_17580124,OQ503870.1,2023-02-12,King County
USA/WA-CDC-UW23021209603/2023,GISAID; GenBank,EPI_ISL_16999628,OQ472781.1,2023-02-12,King County
USA/WA-CDC-UW23021286485/2023,GISAID; GenBank,EPI_ISL_16999630,OQ472776.1,2023-02-12,King County
USA/WA-CDC-UW23030304113/2023,GISAID; GenBank,EPI_ISL_17198402,OQ619269.1,2023-03-03,King County
USA/WA-CDC-UW23032254361/2023,GISAID; GenBank,EPI_ISL_17394916,OQ833335.1,2023-03-22,King County
