SEQUENCE_GISAID_STRAIN,SEQUENCE_REPOSITORY,SEQUENCE_GISAID_ACCESSION,SEQUENCE_GENBANK_ACCESSION,SEQUENCE_SPECIMEN_COLLECTION_DATE,COUNTY_NAME
USA/WA-CDC-UW23012536858/2023,GISAID; GenBank,EPI_ISL_16840721,OQ392534.1,2023-01-25,King County
USA/WA-UW-23012529914/2023,GISAID; GenBank,EPI_ISL_17580025,OQ389902.1,2023-01-25,King County
USA/WA-CDC-UW23020545227/2023,GISAID; GenBank,EPI_ISL_16910481,OQ443394.1,2023-02-05,King County
USA/WA-CDC-UW23020581521/2023,GISAID; GenBank,EPI_ISL_16910605,OQ439728.1,2023-02-05,King County
USA/WA-CDC-UW23020573973/2023,GISAID; GenBank,EPI_ISL_16910461,OQ443384.1,2023-02-05,King County
USA/WA-CDC-UW23012585902/2023,GISAID; GenBank,EPI_ISL_16840694,OQ392523.1,2023-01-25,King County
USA/WA-CDC-UW23012537822/2023,GISAID; GenBank,EPI_ISL_16840692,OQ392525.1,2023-01-25,King County
USA/WA-UW-23012516600/2023,GISAID; GenBank,EPI_ISL_17579685,OQ389886.1,2023-01-25,King County
USA/WA-UW-23012522300/2023,GISAID; GenBank,EPI_ISL_17579436,OQ389915.1,2023-01-25,King County
USA/WA-UW-23020507519/2023,GISAID; GenBank,EPI_ISL_17579131,OQ429415.1,2023-02-05,King County
USA/WA-CDC-UW23012584661/2023,GISAID; GenBank,EPI_ISL_16840699,OQ392519.1,2023-01-25,King County
USA/WA-CDC-UW23012530717/2023,GISAID; GenBank,EPI_ISL_16840700,OQ392518.1,2023-01-25,King County
USA/WA-CDC-QDX47043337/2023,GISAID; GenBank,EPI_ISL_17147194,OQ583300.1,2023-02-18,King County
USA/WA-CDC-UW23012504877/2023,GISAID; GenBank,EPI_ISL_16840680,OQ392551.1,2023-01-25,King County
USA/WA-CDC-UW23012522035/2023,GISAID; GenBank,EPI_ISL_16840703,OQ392515.1,2023-01-25,King County
USA/WA-UW-23012527169/2023,GISAID; GenBank,EPI_ISL_17580427,OQ389896.1,2023-01-25,King County
USA/WA-CDC-UW23020581470/2023,GISAID; GenBank,EPI_ISL_16910470,OQ443375.1,2023-02-05,King County
USA/WA-UW-23012583516/2023,,,,2023-01-25,King County
USA/WA-UW-23021182515/2023,,,,2023-02-11,King County
USA/WA-CDC-UW23020586266/2023,GISAID; GenBank,EPI_ISL_16910464,OQ443381.1,2023-02-05,King County
USA/WA-UW-23012552078/2023,GISAID; GenBank,EPI_ISL_17579415,OQ389935.1,2023-01-25,King County
USA/WA-CDC-UW23021214301/2023,GISAID; GenBank,EPI_ISL_16999623,OQ472772.1,2023-02-12,King County
USA/WA-UW-23012515270/2023,GISAID; GenBank,EPI_ISL_17580274,OQ389932.1,2023-01-25,King County
USA/WA-CDC-UW23012587971/2023,GISAID; GenBank,EPI_ISL_16840713,OQ392542.1,2023-01-25,King County
USA/WA-UW-23012505292/2023,GISAID; GenBank,EPI_ISL_17580286,OQ389936.1,2023-01-25,King County
USA/WA-CDC-UW23020525445/2023,GISAID; GenBank,EPI_ISL_16910466,OQ443385.1,2023-02-05,King County
USA/WA-UW-23012594291/2023,GISAID; GenBank,EPI_ISL_17579021,OQ389930.1,2023-01-25,King County
USA/WA-CDC-UW23012573823/2023,GISAID; GenBank,EPI_ISL_16840695,OQ392522.1,2023-01-25,King County
USA/WA-CDC-UW23012509526/2023,GISAID; GenBank,EPI_ISL_16840710,OQ392545.1,2023-01-25,King County
USA/WA-UW-23020576751/2023,GISAID; GenBank,EPI_ISL_17579571,OQ429430.1,2023-02-05,King County
USA/WA-CDC-UW23020568241/2023,GISAID; GenBank,EPI_ISL_16910483,OQ443396.1,2023-02-05,King County
USA/WA-CDC-UW23020525540/2023,GISAID; GenBank,EPI_ISL_16910473,OQ443399.1,2023-02-05,King County
USA/WA-UW-23020566451/2023,GISAID; GenBank,EPI_ISL_17579348,OQ503739.1,2023-02-05,King County
USA/WA-CDC-UW23020506961/2023,GISAID; GenBank,EPI_ISL_16910485,OQ443398.1,2023-02-05,King County
USA/WA-UW-23012522568/2023,GISAID; GenBank,EPI_ISL_17580738,OQ389920.1,2023-01-25,King County
USA/WA-UW-23012508912/2023,GISAID; GenBank,EPI_ISL_17579699,OQ389905.1,2023-01-25,King County
USA/WA-UW-23020534879/2023,GISAID; GenBank,EPI_ISL_17579888,OQ503732.1,2023-02-05,King County
USA/WA-UW-23031047145/2023,GISAID; GenBank,EPI_ISL_17760056,OQ673796.1,2023-03-10,King County
USA/WA-CDC-UW23040867944/2023,GISAID; GenBank,EPI_ISL_17544541,OQ870924.1,2023-04-08,King County
USA/WA-CDC-UW23012518195/2023,GISAID; GenBank,EPI_ISL_16840693,OQ392524.1,2023-01-25,King County
USA/WA-CDC-UW23012572117/2023,GISAID; GenBank,EPI_ISL_16840691,OQ392526.1,2023-01-25,King County
USA/WA-CDC-UW23012501577/2023,GISAID; GenBank,EPI_ISL_16840690,OQ392543.1,2023-01-25,King County
USA/WA-CDC-UW23012514221/2023,GISAID,EPI_ISL_16846602,,2023-01-25,King County
USA/WA-CDC-UW23012581286/2023,GISAID; GenBank,EPI_ISL_16840698,OQ392527.1,2023-01-25,King County
USA/WA-CDC-UW23012574086/2023,GISAID; GenBank,EPI_ISL_16840723,OQ392532.1,2023-01-25,King County
USA/WA-CDC-UW23012500925/2023,GISAID; GenBank,EPI_ISL_16840686,OQ392556.1,2023-01-25,King County
USA/WA-UW-23012593890/2023,GISAID; GenBank,EPI_ISL_17579267,OQ389900.1,2023-01-25,King County
USA/WA-CDC-UW23011977378/2023,GISAID; GenBank,EPI_ISL_16736054,OQ353040.1,2023-01-19,King County
USA/WA-UW-23012535619/2023,GISAID; GenBank,EPI_ISL_17579660,OQ389927.1,2023-01-25,King County
USA/WA-UW-23020565327/2023,GISAID; GenBank,EPI_ISL_17580048,OQ503731.1,2023-02-05,King County
USA/WA-UW-23012536615/2023,GISAID; GenBank,EPI_ISL_17580473,OQ389873.1,2023-01-25,King County
USA/WA-CDC-UW23022103607/2023,GISAID; GenBank,EPI_ISL_17074683,OQ589274.1,2023-02-21,King County
USA/WA-CDC-UW23012545744/2023,GISAID; GenBank,EPI_ISL_16840701,OQ392517.1,2023-01-25,King County
USA/WA-UW-23022071826/2023,GISAID; GenBank,EPI_ISL_17578780,OQ567881.1,2023-02-20,King County
USA/WA-UW-23012577434/2023,GISAID; GenBank,EPI_ISL_17580532,OQ389883.1,2023-01-25,King County
USA/WA-UW-23012562355/2023,GISAID; GenBank,EPI_ISL_17578959,OQ389899.1,2023-01-25,King County
USA/WA-UW-23012538617/2023,GISAID; GenBank,EPI_ISL_17580424,OQ389867.1,2023-01-25,King County
USA/WA-CDC-UW23012512876/2023,GISAID; GenBank,EPI_ISL_16840685,OQ392555.1,2023-01-25,King County
USA/WA-UW-23012559330/2023,GISAID; GenBank,EPI_ISL_17579820,OQ389924.1,2023-01-25,King County
USA/WA-CDC-UW23012541744/2023,GISAID; GenBank,EPI_ISL_16840678,OQ392550.1,2023-01-25,King County
USA/WA-CDC-UW23012543993/2023,GISAID; GenBank,EPI_ISL_16840688,OQ392548.1,2023-01-25,King County
USA/WA-UW-23012588820/2023,GISAID; GenBank,EPI_ISL_17579486,OQ389909.1,2023-01-25,King County
USA/WA-CDC-UW23012504470/2023,GISAID; GenBank,EPI_ISL_16840719,OQ392536.1,2023-01-25,King County
USA/WA-UW-23022007978/2023,GISAID; GenBank,EPI_ISL_17580376,OQ568051.1,2023-02-20,King County
USA/WA-UW-23022050580/2023,GISAID; GenBank,EPI_ISL_17580332,OQ567902.1,2023-02-20,King County
USA/WA-CDC-UW23022005781/2023,GISAID; GenBank,EPI_ISL_17074686,OQ589265.1,2023-02-20,King County
USA/WA-UW-23022093374/2023,GISAID; GenBank,EPI_ISL_17579134,OQ567927.1,2023-02-20,King County
USA/WA-UW-23022007601/2023,GISAID; GenBank,EPI_ISL_17580735,OQ567947.1,2023-02-20,King County
USA/WA-CDC-UW23031198044/2023,GISAID; GenBank,EPI_ISL_17322277,OQ704368.1,2023-03-11,King County
USA/WA-UW-23020602241/2023,,,,2023-02-06,King County
USA/WA-UW-23022013306/2023,GISAID; GenBank,EPI_ISL_17579233,OQ567914.1,2023-02-20,King County
USA/WA-UW-23022007696/2023,GISAID; GenBank,EPI_ISL_17580039,OQ568035.1,2023-02-20,King County
USA/WA-UW-23020630363/2023,GISAID; GenBank,EPI_ISL_17578989,OQ429386.1,2023-02-06,King County
USA/WA-UW-23022039608/2023,GISAID; GenBank,EPI_ISL_17580390,OQ567931.1,2023-02-20,King County
USA/WA-CDC-UW23020680641/2023,GISAID; GenBank,EPI_ISL_16910594,OQ439734.1,2023-02-06,King County
USA/WA-UW-23020616086/2023,GISAID; GenBank,EPI_ISL_17579413,OQ503714.1,2023-02-06,King County
USA/WA-UW-23020604300/2023,GISAID; GenBank,EPI_ISL_17579920,OQ429356.1,2023-02-06,King County
USA/WA-UW-23020667419/2023,GISAID; GenBank,EPI_ISL_17580333,OQ429339.1,2023-02-06,King County
USA/WA-UW-23020658094/2023,GISAID; GenBank,EPI_ISL_17579717,OQ503692.1,2023-02-06,King County
USA/WA-UW-23022012650/2023,GISAID; GenBank,EPI_ISL_17579891,OQ567908.1,2023-02-20,King County
USA/WA-UW-23022091671/2023,GISAID; GenBank,EPI_ISL_17579976,OQ567955.1,2023-02-20,King County
USA/WA-UW-23022059256/2023,GISAID; GenBank,EPI_ISL_17578879,OQ567935.1,2023-02-20,King County
USA/WA-UW-23022011296/2023,GISAID; GenBank,EPI_ISL_17578962,OQ568094.1,2023-02-20,King County
USA/WA-UW-23031122989/2023,GISAID; GenBank,EPI_ISL_17760083,OQ673729.1,2023-03-11,King County
USA/WA-S24583/2023,GISAID; GenBank,EPI_ISL_18879248,PP319504.1,2023-12-07,King County
USA/WA-UW-23020611966/2023,GISAID; GenBank,EPI_ISL_17578902,OQ503689.1,2023-02-06,King County
USA/WA-CDC-UW23020661983/2023,GISAID; GenBank,EPI_ISL_16910595,OQ439741.1,2023-02-06,King County
USA/WA-UW-23020676199/2023,GISAID; GenBank,EPI_ISL_17578887,OQ503700.1,2023-02-06,King County
USA/WA-UW-23020693651/2023,,,,2023-02-06,King County
USA/WA-UW-23020636491/2023,,,,2023-02-06,King County
USA/WA-UW-23011301000/2023,GISAID; GenBank,EPI_ISL_17579078,OQ306197.1,2023-01-13,King County
USA/WA-CDC-UW23011340393/2023,GISAID; GenBank,EPI_ISL_16640031,OQ306856.1,2023-01-13,King County
USA/WA-UW-23011323762/2023,GISAID; GenBank,EPI_ISL_17580674,OQ306201.1,2023-01-13,King County
USA/WA-CDC-LC1004725/2023,GISAID; GenBank,EPI_ISL_16915851,OQ431786.1,2023-01-24,King County
USA/WA-CDC-UW23011561203/2023,GISAID; GenBank,EPI_ISL_17575954,OQ306909.1,2023-01-15,King County
USA/WA-CDC-UW23011562136/2023,GISAID; GenBank,EPI_ISL_16639997,OQ306910.1,2023-01-15,King County
USA/WA-CDC-UW23011318030/2023,GISAID; GenBank,EPI_ISL_16640051,OQ306883.1,2023-01-13,King County
USA/WA-CDC-UW23011386185/2023,GISAID; GenBank,EPI_ISL_16640026,OQ306898.1,2023-01-13,King County
USA/WA-CDC-UW23011544560/2023,GISAID; GenBank,EPI_ISL_16640003,OQ306915.1,2023-01-15,King County
USA/WA-CDC-UW23011306626/2023,GISAID; GenBank,EPI_ISL_16640027,OQ306897.1,2023-01-13,King County
USA/WA-CDC-UW23011389034/2023,GISAID; GenBank,EPI_ISL_16640025,OQ306896.1,2023-01-13,King County
USA/WA-CDC-UW23011366315/2023,GISAID; GenBank,EPI_ISL_16640019,OQ306889.1,2023-01-13,King County
USA/WA-CDC-UW23011322374/2023,GISAID; GenBank,EPI_ISL_16640043,OQ306870.1,2023-01-13,King County
USA/WA-CDC-UW23031311162/2023,GISAID; GenBank,EPI_ISL_17759916,OQ704404.1,2023-03-13,King County
USA/WA-CDC-UW23011427929/2023,GISAID; GenBank,EPI_ISL_16640011,OQ306902.1,2023-01-14,King County
USA/WA-CDC-LC1004662/2023,GISAID; GenBank,EPI_ISL_16915753,OQ431688.1,2023-01-23,King County
USA/WA-UW-23022102924/2023,GISAID; GenBank,EPI_ISL_17579984,OQ567999.1,2023-02-21,King County
USA/WA-CDC-UW23011333329/2023,GISAID; GenBank,EPI_ISL_16640021,OQ306892.1,2023-01-13,King County
USA/WA-UW-23011369344/2023,GISAID; GenBank,EPI_ISL_17580598,OQ306241.1,2023-01-13,King County
USA/WA-UW-23011395151/2023,GISAID; GenBank,EPI_ISL_17580265,OQ306220.1,2023-01-13,King County
USA/WA-UW-23020617525/2023,GISAID; GenBank,EPI_ISL_17580651,OQ429344.1,2023-02-06,King County
USA/WA-UW-23022102549/2023,GISAID; GenBank,EPI_ISL_17580281,OQ568005.1,2023-02-21,King County
USA/WA-CDC-UW23020696146/2023,GISAID; GenBank,EPI_ISL_16910600,OQ439739.1,2023-02-06,King County
USA/WA-UW-23011311897/2023,GISAID; GenBank,EPI_ISL_17579960,OQ306208.1,2023-01-13,King County
USA/WA-CDC-UW23011358044/2023,GISAID; GenBank,EPI_ISL_16640045,OQ306874.1,2023-01-13,King County
USA/WA-CDC-UW23011439467/2023,GISAID; GenBank,EPI_ISL_16640012,OQ306901.1,2023-01-14,King County
USA/WA-PHL-032588/2023,GISAID; GenBank,EPI_ISL_17012887,PQ372559.1,2023-02-06,King County
USA/WA-PHL-032590/2023,GISAID; GenBank,EPI_ISL_17012889,PQ372561.1,2023-02-06,King County
USA/WA-PHL-032589/2023,GISAID; GenBank,EPI_ISL_17012888,PQ372560.1,2023-02-06,King County
USA/WA-PHL-032587/2023,GISAID; GenBank,EPI_ISL_17012886,PQ372558.1,2023-02-06,King County
USA/WA-S22899/2023,GISAID; GenBank,EPI_ISL_17395256,OQ738445.1,2023-03-08,King County
USA/WA-CDC-QDX47145272/2023,GISAID; GenBank,EPI_ISL_17147567,OQ583637.1,2023-02-20,King County
USA/WA-CDC-UW23011399640/2023,GISAID; GenBank,EPI_ISL_17576056,OQ306859.1,2023-01-13,King County
USA/WA-CDC-UW23020630070/2023,GISAID; GenBank,EPI_ISL_16910592,OQ439732.1,2023-02-06,King County
USA/WA-CDC-UW23011366303/2023,GISAID,EPI_ISL_16617778,,2023-01-13,King County
USA/WA-UW-23011305542/2023,GISAID; GenBank,EPI_ISL_17578925,OQ306244.1,2023-01-13,King County
USA/WA-CDC-UW23011357701/2023,GISAID; GenBank,EPI_ISL_16640022,OQ306893.1,2023-01-13,King County
USA/WA-UW-23011524131/2023,GISAID; GenBank,EPI_ISL_17579595,OQ306262.1,2023-01-15,King County
USA/WA-PHL-032591/2023,GISAID; GenBank,EPI_ISL_17012890,PQ372562.1,2023-02-06,King County
USA/WA-CDC-UW23020638849/2023,GISAID; GenBank,EPI_ISL_16910589,OQ439729.1,2023-02-06,King County
USA/WA-CDC-UW23011319186/2023,GISAID; GenBank,EPI_ISL_16640038,OQ306864.1,2023-01-13,King County
USA/WA-UW-23011351360/2023,GISAID; GenBank,EPI_ISL_17580383,OQ306242.1,2023-01-13,King County
USA/WA-UW-23020636164/2023,GISAID; GenBank,EPI_ISL_17579966,OQ429397.1,2023-02-06,King County
USA/WA-UW-23011515849/2023,GISAID; GenBank,EPI_ISL_17579438,OQ306228.1,2023-01-15,King County
USA/WA-CDC-UW23020630190/2023,GISAID; GenBank,EPI_ISL_16910597,OQ439736.1,2023-02-06,King County
USA/WA-CDC-UW23011315168/2023,GISAID; GenBank,EPI_ISL_16640048,OQ306853.1,2023-01-13,King County
USA/WA-CDC-UW23011365635/2023,GISAID; GenBank,EPI_ISL_16640041,OQ306867.1,2023-01-13,King County
USA/WA-UW-23020680132/2023,GISAID; GenBank,EPI_ISL_17579548,OQ429394.1,2023-02-06,King County
USA/WA-CDC-UW23011397333/2023,GISAID; GenBank,EPI_ISL_16640032,OQ306857.1,2023-01-13,King County
USA/WA-CDC-UW23011379852/2023,GISAID; GenBank,EPI_ISL_16640040,OQ306866.1,2023-01-13,King County
USA/WA-CDC-UW23011569031/2023,GISAID; GenBank,EPI_ISL_16639999,OQ306912.1,2023-01-15,King County
USA/WA-UW-23020687560/2023,,,,2023-02-06,King County
USA/WA-CDC-UW23011371537/2023,GISAID; GenBank,EPI_ISL_16640030,OQ306855.1,2023-01-13,King County
USA/WA-CDC-UW23011371718/2023,GISAID; GenBank,EPI_ISL_16640014,OQ306884.1,2023-01-13,King County
USA/WA-PHL-032459/2023,GISAID,EPI_ISL_17012769,,2023-01-25,King County
USA/WA-PHL-032458/2023,GISAID,EPI_ISL_17012768,,2023-01-25,King County
USA/WA-PHL-032456/2023,GISAID; GenBank,EPI_ISL_17012766,PQ372435.1,2023-01-25,King County
USA/WA-PHL-032455/2023,GISAID; GenBank,EPI_ISL_17012765,PQ372434.1,2023-01-25,King County
USA/WA-UW-23020651931/2023,GISAID; GenBank,EPI_ISL_17579906,OQ503736.1,2023-02-06,King County
USA/WA-UW-23011331616/2023,GISAID; GenBank,EPI_ISL_17579320,OQ306261.1,2023-01-13,King County
USA/WA-S23514/2023,GISAID; GenBank,EPI_ISL_17977239,OR250812.1,2023-01-23,King County
USA/WA-S22882/2023,GISAID; GenBank,EPI_ISL_17395239,OQ738429.1,2023-01-27,King County
USA/WA-UW-23031201509/2023,GISAID; GenBank,EPI_ISL_17760091,OQ704061.1,2023-03-12,King County
USA/WA-UW-23020684246/2023,GISAID; GenBank,EPI_ISL_17580486,OQ503690.1,2023-02-06,King County
USA/WA-CDC-UW23020624892/2023,GISAID; GenBank,EPI_ISL_16999560,OQ472657.1,2023-02-06,King County
USA/WA-S22796/2023,GISAID; GenBank,EPI_ISL_17395156,OQ738360.1,2023-02-22,King County
USA/WA-CDC-UW23012638530/2023,GISAID; GenBank,EPI_ISL_16921237,OQ439675.1,2023-01-26,King County
USA/WA-CDC-UW23012667278/2023,GISAID; GenBank,EPI_ISL_16921243,OQ439669.1,2023-01-26,King County
USA/WA-CDC-UW23012622234/2023,GISAID; GenBank,EPI_ISL_16921256,OQ439656.1,2023-01-26,King County
USA/WA-CDC-UW23011345114/2023,GISAID; GenBank,EPI_ISL_16640047,OQ306876.1,2023-01-13,King County
USA/WA-CDC-UW23012673677/2023,GISAID; GenBank,EPI_ISL_16921251,OQ439661.1,2023-01-26,King County
USA/WA-UW-23013053941/2023,GISAID; GenBank,EPI_ISL_17579950,OQ389911.1,2023-01-30,King County
USA/WA-CDC-UW23013179221/2023,GISAID; GenBank,EPI_ISL_16910625,OQ439689.1,2023-01-31,King County
USA/WA-CDC-UW23012611867/2023,GISAID; GenBank,EPI_ISL_16921258,OQ439654.1,2023-01-26,King County
USA/WA-CDC-UW23012667764/2023,GISAID; GenBank,EPI_ISL_16921238,OQ439674.1,2023-01-26,King County
USA/WA-CDC-UW23012630857/2023,GISAID; GenBank,EPI_ISL_16921239,OQ439673.1,2023-01-26,King County
USA/WA-CDC-UW23012686436/2023,GISAID; GenBank,EPI_ISL_16921254,OQ439658.1,2023-01-26,King County
USA/WA-UW-23013019389/2023,GISAID; GenBank,EPI_ISL_17580755,OQ389891.1,2023-01-30,King County
USA/WA-CDC-UW23020750185/2023,GISAID; GenBank,EPI_ISL_16999557,OQ472672.1,2023-02-07,King County
USA/WA-CDC-QDX46179449/2023,GISAID; GenBank,EPI_ISL_16906479,OQ425560.1,2023-01-25,King County
USA/WA-CDC-LC1021388/2023,GISAID; GenBank,EPI_ISL_17196671,OQ614003.1,2023-02-19,King County
USA/WA-CDC-UW23031390311/2023,GISAID; GenBank,EPI_ISL_17322245,OQ704380.1,2023-03-13,King County
USA/WA-UW-23020776053/2023,GISAID; GenBank,EPI_ISL_17578982,OQ503679.1,2023-02-07,King County
USA/WA-ASC-210883474/2023,GISAID,EPI_ISL_17211695,,2023-02-20,King County
USA/WA-CDC-UW23012622782/2023,GISAID; GenBank,EPI_ISL_16921240,OQ439672.1,2023-01-26,King County
USA/WA-UW-23020745439/2023,GISAID; GenBank,EPI_ISL_17579609,OQ503709.1,2023-02-07,King County
USA/WA-UW-23020737816/2023,,,,2023-02-07,King County
USA/WA-UW-23020779144/2023,GISAID; GenBank,EPI_ISL_17579052,OQ503733.1,2023-02-07,King County
USA/WA-UW-23011278800/2023,GISAID; GenBank,EPI_ISL_17580429,OQ377665.1,2023-01-12,King County
USA/WA-UW-23020706712/2023,GISAID; GenBank,EPI_ISL_17579702,OQ503696.1,2023-02-07,King County
USA/WA-UW-23011284767/2023,GISAID; GenBank,EPI_ISL_17579535,OQ377674.1,2023-01-12,King County
USA/WA-UW-23011285689/2023,GISAID; GenBank,EPI_ISL_17580759,OQ377659.1,2023-01-12,King County
USA/WA-CDC-UW23011964179/2023,GISAID; GenBank,EPI_ISL_16736040,OQ353027.1,2023-01-19,King County
USA/WA-UW-23011265111/2023,GISAID; GenBank,EPI_ISL_17580689,OQ377678.1,2023-01-12,King County
USA/WA-UW-23011241068/2023,GISAID; GenBank,EPI_ISL_17579214,OQ377652.1,2023-01-12,King County
USA/WA-UW-23011215301/2023,GISAID; GenBank,EPI_ISL_17578978,OQ346249.1,2023-01-12,King County
USA/WA-UW-23011269853/2023,GISAID; GenBank,EPI_ISL_17580267,OQ377676.1,2023-01-12,King County
USA/WA-UW-23011299351/2023,GISAID; GenBank,EPI_ISL_17579947,OQ377653.1,2023-01-12,King County
USA/WA-UW-23011210649/2023,GISAID; GenBank,EPI_ISL_17578974,OQ377651.1,2023-01-12,King County
USA/WA-CDC-UW23022230010/2023,GISAID; GenBank,EPI_ISL_17145807,OQ589292.1,2023-02-22,King County
USA/WA-PHL-032244/2023,GISAID; GenBank,EPI_ISL_16756130,PQ372247.1,2023-01-09,King County
USA/WA-CDC-UW23020765754/2023,GISAID; GenBank,EPI_ISL_16999546,OQ472668.1,2023-02-07,King County
USA/WA-UW-23011297830/2023,GISAID; GenBank,EPI_ISL_17580000,OQ377681.1,2023-01-12,King County
USA/WA-CDC-UW23041756558/2023,GISAID; GenBank,EPI_ISL_17544435,OQ871039.1,2023-04-17,King County
USA/WA-UW-23020734535/2023,GISAID; GenBank,EPI_ISL_17579653,OQ504025.1,2023-02-07,King County
USA/WA-CDC-LC1029150/2023,,,,2023-03-13,King County
USA/WA-UW-23020756114/2023,GISAID; GenBank,EPI_ISL_17580670,OQ504040.1,2023-02-07,King County
USA/WA-UW-23011282281/2023,GISAID; GenBank,EPI_ISL_17579930,OQ377663.1,2023-01-12,King County
USA/WA-CDC-UW23020728558/2023,GISAID; GenBank,EPI_ISL_16999556,OQ472664.1,2023-02-07,King County
USA/WA-UW-23011276234/2023,GISAID; GenBank,EPI_ISL_17579759,OQ377679.1,2023-01-12,King County
USA/WA-CDC-UW23021111780/2023,GISAID; GenBank,EPI_ISL_16999646,OQ472768.1,2023-02-11,King County
USA/WA-UW-23011227504/2023,GISAID; GenBank,EPI_ISL_17580572,OQ377654.1,2023-01-12,King County
USA/WA-CDC-UW23031451726/2023,GISAID; GenBank,EPI_ISL_17322210,OQ704433.1,2023-03-14,King County
USA/WA-CDC-UW23021336892/2023,GISAID; GenBank,EPI_ISL_16999620,OQ472783.1,2023-02-13,King County
USA/WA-UW-23020794550/2023,GISAID; GenBank,EPI_ISL_17579201,OQ503685.1,2023-02-07,King County
USA/WA-CDC-UW23011709071/2023,GISAID; GenBank,EPI_ISL_16746621,OQ359571.1,2023-01-17,King County
USA/WA-CDC-UW23011660496/2023,GISAID; GenBank,EPI_ISL_16736119,OQ352894.1,2023-01-16,King County
USA/WA-CDC-UW23011658731/2023,GISAID; GenBank,EPI_ISL_16735975,OQ352888.1,2023-01-16,King County
USA/WA-UW-23020712795/2023,GISAID; GenBank,EPI_ISL_17579113,OQ503710.1,2023-02-07,King County
USA/WA-UW-23011420306/2023,GISAID; GenBank,EPI_ISL_17579176,OQ346234.1,2023-01-14,King County
USA/WA-CDC-UW23011674971/2023,GISAID; GenBank,EPI_ISL_16735979,OQ352884.1,2023-01-16,King County
USA/WA-UW-23011431879/2023,GISAID; GenBank,EPI_ISL_17579155,OQ346214.1,2023-01-14,King County
USA/WA-UW-23011421650/2023,GISAID; GenBank,EPI_ISL_17580302,OQ346231.1,2023-01-14,King County
USA/WA-CDC-UW23011627018/2023,GISAID; GenBank,EPI_ISL_16735973,OQ352899.1,2023-01-16,King County
USA/WA-UW-23011491417/2023,GISAID; GenBank,EPI_ISL_17578895,OQ346226.1,2023-01-14,King County
USA/WA-UW-23011433451/2023,GISAID; GenBank,EPI_ISL_17579331,OQ346213.1,2023-01-14,King County
USA/WA-UW-23020734422/2023,GISAID; GenBank,EPI_ISL_17579207,OQ503698.1,2023-02-07,King County
USA/WA-CDC-UW23011662473/2023,GISAID; GenBank,EPI_ISL_16735988,OQ352910.1,2023-01-16,King County
USA/WA-CDC-UW23011615141/2023,GISAID; GenBank,EPI_ISL_16735985,OQ352913.1,2023-01-16,King County
USA/WA-UW-23020720180/2023,GISAID; GenBank,EPI_ISL_17579488,OQ503691.1,2023-02-07,King County
USA/WA-CDC-UW23022254454/2023,GISAID; GenBank,EPI_ISL_17145802,OQ589287.1,2023-02-22,King County
USA/WA-UW-23020754490/2023,GISAID; GenBank,EPI_ISL_17579564,OQ503715.1,2023-02-07,King County
USA/WA-UW-23020771347/2023,GISAID; GenBank,EPI_ISL_17580707,OQ503687.1,2023-02-07,King County
USA/WA-UW-23020729638/2023,GISAID; GenBank,EPI_ISL_17580330,OQ503723.1,2023-02-07,King County
USA/WA-UW-23011602325/2023,GISAID; GenBank,EPI_ISL_17580230,OQ378173.1,2023-01-16,King County
USA/WA-CDC-UW23011684859/2023,GISAID; GenBank,EPI_ISL_16735980,OQ352897.1,2023-01-16,King County
USA/WA-UW-23020705055/2023,GISAID; GenBank,EPI_ISL_17580650,OQ504003.1,2023-02-07,King County
USA/WA-CDC-UW23020767217/2023,GISAID; GenBank,EPI_ISL_16999550,OQ472662.1,2023-02-07,King County
USA/WA-UW-23020799623/2023,GISAID; GenBank,EPI_ISL_17579547,OQ504032.1,2023-02-07,King County
USA/WA-CDC-UW23011674345/2023,GISAID; GenBank,EPI_ISL_16735989,OQ352909.1,2023-01-16,King County
USA/WA-UW-23011457499/2023,GISAID; GenBank,EPI_ISL_17580342,OQ346217.1,2023-01-14,King County
USA/WA-UW-23011432461/2023,GISAID; GenBank,EPI_ISL_17579346,OQ346210.1,2023-01-14,King County
USA/WA-UW-23011491370/2023,GISAID; GenBank,EPI_ISL_17578817,OQ346215.1,2023-01-14,King County
USA/WA-UW-23020735645/2023,GISAID; GenBank,EPI_ISL_17579563,OQ504016.1,2023-02-07,King County
USA/WA-UW-23011454623/2023,GISAID; GenBank,EPI_ISL_17578882,OQ346222.1,2023-01-14,King County
USA/WA-UW-23042021766/2023,,,,2023-04-20,King County
USA/WA-CDC-UW23011454180/2023,GISAID; GenBank,EPI_ISL_16736003,OQ352878.1,2023-01-14,King County
